July,2022-07-09,3
July,2022-07-08,4
July,2022-07-07,4
July,2022-07-05,5
July,2022-07-04,4
June,2022-06-28,5
June,2022-06-27,3
June,2022-06-26,3
June,2022-06-25,4
June,2022-06-24,5
June,2022-06-23,4
June,2022-06-22,3
June,2022-06-21,5
June,2022-06-20,3
June,2022-06-17,5
June,2022-06-16,3
June,2022-06-15,3
June,2022-06-14,3
June,2022-06-13,3
June,2022-06-12,5
June,2022-06-06,5
May,2022-05-19,5
May,2022-05-14,4
May,2022-05-13,5
May,2022-05-12,4
May,2022-05-11,4
May,2022-05-08,4
May,2022-05-06,5
May,2022-05-04,5
May,2022-05-03,4
May,2022-05-01,3
April,2022-04-23,5
April,2022-04-21,4
April,2022-04-20,3
April,2022-04-16,4
April,2022-04-15,5
April,2022-04-14,4
April,2022-04-12,6
April,2022-04-11,6
April,2022-04-10,5
April,2022-04-08,5
April,2022-04-07,6
April,2022-04-06,6
April,2022-04-03,6
March,2022-03-28,5
March,2022-03-26,6
March,2022-03-22,5
March,2022-03-20,6
March,2022-03-19,6
March,2022-03-15,5
March,2022-03-13,5
March,2022-03-12,3
March,2022-03-10,5
March,2022-03-09,4
March,2022-03-08,5
March,2022-03-07,4
March,2022-03-06,5
March,2022-03-05,4
March,2022-03-03,3
March,2022-03-02,5
March,2022-03-01,5
Feb,2022-02-27,4
Feb,2022-02-25,6
Feb,2022-02-24,5
Feb,2022-02-21,4
Feb,2022-02-20,6
Feb,2022-02-17,6
Feb,2022-02-16,6
Feb,2022-02-14,5
Feb,2022-02-13,3
Feb,2022-02-09,5
Feb,2022-02-07,5
Feb,2022-02-05,5
Jan,2022-01-31,4
Jan,2022-01-29,6
Jan,2022-01-28,4
Jan,2022-01-27,3
Jan,2022-01-26,5
Jan,2022-01-25,5
Jan,2022-01-24,5
Jan,2022-01-23,5
Jan,2022-01-22,4
